season,participant_id,staff,time,coach_nr_years_head,coach_nr_years_head_alone,coach_nr_years_head_with_ass,coach_nr_years_ass,coach_nr_years_shared_leadership,personality_neurotism,personality_extrovert,personality_openness,personality_agreeableness,personality_conscientiousness,transformational_leadership,shared_leadership_model,shared_leadership_collaboration,shared_leadership_roles,psych_safety,personality_neurotism_1,personality_neurotism_2,personality_neurotism_3,personality_extrovert_1,personality_extrovert_2,personality_extrovert_3,personality_openness_1,personality_openness_2,personality_openness_3,personality_agreeableness_1,personality_agreeableness_2,personality_agreeableness_3,personality_conscientiousness_1,personality_conscientiousness_2,personality_conscientiousness_3,transformational_leadership_1,transformational_leadership_2,transformational_leadership_3,transformational_leadership_4,transformational_leadership_5,transformational_leadership_6,transformational_leadership_7,shared_leadership_1,shared_leadership_2,shared_leadership_3,shared_leadership_4,shared_leadership_5,shared_leadership_6,shared_leadership_7,shared_leadership_8,shared_leadership_9,performance_training,performance_game,role_1,role_2,role_3,collaboration_1,collaboration_2,collaboration_3,collaboration_4,psych_safety_1,psych_safety_2,psych_safety_3,psych_safety_4,psych_safety_5,psych_safety_6,psych_safety_7,basic_needs_autonomy,basic_needs_competence,basic_needs_relatedness,participate_last_year,contact_pre,contact_post,general_experience,performance_collaboration
2022,s043529047,DU16,pre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,4,4,5,5,5,NA,5,4,5,5,5,5,4,5,5,5,NA,NA,NA,NA,NA
2022,s125322598,DU20,pre,20,20,20,20,5,1.6666666666666667,2.3333333333333335,5.666666666666667,6,4.333333333333333,3.857142857142857,4.333333333333333,4.333333333333333,5,NA,1,2,2,2,3,2,6,5,6,6,6,6,4,4,5,2,5,5,5,3,4,3,4,5,4,5,4,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,s166744778,HU16,pre,8,4,4,6,1,3.3333333333333335,6.666666666666667,6.333333333333333,6.333333333333333,5,4.142857142857143,4,3.6666666666666665,4,2.4285714285714284,5,3,2,7,7,6,6,6,7,6,7,6,5,5,5,4,5,5,5,4,4,2,3,5,4,5,3,3,4,5,3,3,NA,1,1,1,1,2,4,NA,3,2,2,1,4,3,2,1,2,2,NA,NA,NA,NA,NA
2022,s216877225,HU20,pre,13,4,5,10,9,3,4.333333333333333,4.333333333333333,5,5,3.857142857142857,3,4.666666666666667,4.333333333333333,NA,1,1,7,3,5,5,4,4,5,5,5,5,5,6,4,4,4,5,4,3,3,4,3,3,3,4,5,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,s218402927,DU18,pre,16,7,9,4,0,4,5,4,4.333333333333333,5.333333333333333,4.428571428571429,3.6666666666666665,3.3333333333333335,2.6666666666666665,3.7142857142857144,3,5,4,5,5,5,5,3,4,5,2,6,6,5,5,5,5,4,5,4,4,4,4,4,3,4,3,3,2,3,3,4,NA,3,3,4,4,4,4,NA,4,4,5,3,4,1,5,4,4,5,NA,NA,NA,NA,NA
2022,s310694279,HU16,pre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5714285714285716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,4,2,2,3,3,NA,3,4,2,5,3,5,3,4,5,3,NA,NA,NA,NA,NA
2022,s317049067,HU18,pre,35,20,15,5,3,2.3333333333333335,4.666666666666667,5,5.333333333333333,6.333333333333333,4.142857142857143,4.666666666666667,5,5,4.428571428571429,4,1,2,4,4,6,5,5,5,5,5,6,6,7,6,4,4,4,5,4,4,4,5,4,5,5,5,5,5,5,5,5,NA,4,4,4,5,5,4,NA,5,4,5,3,5,5,4,4,4,4,NA,NA,NA,NA,NA
2022,s399502304,DU20,pre,40,30,6,4,0,2,3.3333333333333335,5,5.666666666666667,6.333333333333333,4.285714285714286,4.333333333333333,4.333333333333333,4.666666666666667,4.428571428571429,2,2,2,3,4,3,6,4,5,6,5,6,6,7,6,4,5,4,4,4,4,5,4,5,4,4,5,4,4,5,5,4,NA,4,4,4,4,4,4,NA,5,4,5,3,5,5,4,4,4,4,NA,NA,NA,NA,NA
2022,s422221269,HU16,pre,3,0,3,2,0,3.3333333333333335,6.333333333333333,6.333333333333333,5.666666666666667,6.333333333333333,4.714285714285714,4,3.3333333333333335,3.3333333333333335,2.7142857142857144,5,4,1,6,6,7,7,7,5,4,7,6,7,6,6,5,4,5,5,5,5,4,5,4,3,4,4,2,3,4,3,3,NA,1,1,1,2,2,3,NA,3,2,4,2,3,2,3,2,3,3,NA,NA,NA,NA,NA
2022,s485981199,DU16,pre,20,1,19,3,1,1.3333333333333333,5.333333333333333,4.333333333333333,5.666666666666667,6,4.571428571428571,5,5,5,5,1,1,2,4,5,7,5,3,5,6,5,6,6,6,6,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,4,NA,5,5,5,5,5,5,NA,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA
2022,s494748976,DU18,pre,10,0,10,4,3,2,3.3333333333333335,4,5.666666666666667,5,4.285714285714286,4,4.333333333333333,4,4.285714285714286,2,2,2,3,4,3,5,3,4,6,5,6,6,3,6,4,5,5,4,5,3,4,4,4,4,5,4,4,4,4,4,3,NA,4,4,4,4,4,3,NA,4,3,5,4,5,5,4,5,3,5,NA,NA,NA,NA,NA
2022,s632395026,DU16,pre,30,7,10,7,6,3.3333333333333335,7,3.6666666666666665,6,6.666666666666667,4.428571428571429,5,5,5,4.285714285714286,4,4,2,7,7,7,4,3,4,6,6,6,7,7,6,5,5,5,5,4,4,3,5,5,5,5,5,5,5,5,5,5,NA,5,5,5,5,5,4,NA,5,3,5,3,5,5,4,4,4,4,NA,NA,NA,NA,NA
2022,s691725724,DU16,pre,31,25,8,7,2,4.666666666666667,6,3.6666666666666665,4.666666666666667,6,4.142857142857143,3.6666666666666665,5,4.666666666666667,4.714285714285714,5,5,4,6,6,6,5,2,4,4,4,6,6,6,6,4,4,4,5,4,4,4,4,3,4,5,5,5,4,5,5,4,NA,5,5,5,4,4,5,NA,5,5,5,4,5,5,4,4,4,4,NA,NA,NA,NA,NA
2022,s704011544,DU18,pre,15,7,2,4,0,3,4.333333333333333,6,5.666666666666667,6.666666666666667,4.857142857142857,4,3.6666666666666665,3.6666666666666665,4,6,2,1,5,6,2,5,6,7,6,4,7,7,7,6,5,5,5,5,4,5,5,4,4,4,4,3,4,4,3,4,4,NA,4,4,4,4,3,4,NA,4,4,5,3,5,3,4,4,4,4,NA,NA,NA,NA,NA
2022,s722867621,HU16,pre,10,10,10,10,10,4.666666666666667,4,3.6666666666666665,5,4.666666666666667,3.142857142857143,3.6666666666666665,3.3333333333333335,3.6666666666666665,NA,5,3,6,5,6,1,4,2,5,3,6,6,6,2,6,2,4,4,2,4,3,3,4,3,4,3,4,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,s778049603,HU20,pre,15,1,14,7,1,1,5,4.666666666666667,5.666666666666667,6.333333333333333,3.2857142857142856,3.3333333333333335,4.333333333333333,5,NA,1,1,1,5,6,4,6,5,3,3,7,7,7,6,6,3,5,2,5,2,3,3,3,4,3,5,4,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,s839823061,DU20,pre,13,8,8,7,0,1.6666666666666667,7,5.333333333333333,6.333333333333333,6,4.142857142857143,5,2.3333333333333335,2.3333333333333335,1.8571428571428572,2,2,1,7,7,7,5,4,7,6,6,7,6,6,6,4,4,5,4,4,4,4,5,5,5,3,2,2,4,2,1,3,NA,1,2,2,1,3,3,NA,2,1,3,1,2,3,1,2,3,1,NA,NA,NA,NA,NA
2022,s867750837,DU18,pre,15,12,3,8,0,1.3333333333333333,4.666666666666667,5,6.333333333333333,5.333333333333333,4,2.6666666666666665,4.333333333333333,3.6666666666666665,4.285714285714286,2,1,1,5,5,4,4,5,6,5,7,7,5,6,5,4,5,4,4,3,4,4,3,3,2,4,5,4,3,4,4,3,NA,4,5,4,4,4,5,NA,5,3,5,4,4,5,4,4,4,5,NA,NA,NA,NA,NA
2022,s876443028,HU20,pre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7142857142857144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,3,3,4,3,3,NA,4,4,5,3,5,1,4,4,4,5,NA,NA,NA,NA,NA
2022,s923383536,HU20,pre,13,5,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,4,4,4,4,4,NA,5,4,5,4,5,3,3,4,4,4,NA,NA,NA,NA,NA
